public_number,book_number,black,white,date,result,move_count,status,sgf_file,archive_url,gif_url
1,,Kitani Minoru,Go Seigen,1939-09-28..30,W+2,276,identified_by_30_move_prefix,sgf/001-1939-09-28.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1939-09-28.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80001.gif
2,,Go Seigen,Kitani Minoru,"1940-06-12,13,14",B+1,254,identified_by_30_move_prefix,sgf/002-1940-06-12.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1940-06-12.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80002.gif
3,,Kitani Minoru,Go Seigen,"1941-03-05,07",W+R,194,identified_by_30_move_prefix,sgf/003-1941-03-05.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1941-03-05.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80003.gif
4,,Karigane Junichi,Go Seigen,1941-08-07..09,W+R,186,identified_by_30_move_prefix,sgf/004-1941-08-07.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1941-08-07.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80004.gif
5,,Go Seigen,Karigane Junichi,1941-10-03..05,B+6,275,identified_by_30_move_prefix,sgf/005-1941-10-03.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1941-10-03.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80005.gif
6,,Go Seigen,Karigane Junichi,1942-02-25..27,B+3,254,identified_by_30_move_prefix,sgf/006-1942-02-25.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1942-02-25.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80006.gif
7,,Karigane Junichi,Go Seigen,1942-05-02..04,W+R,190,identified_by_30_move_prefix,sgf/007-1942-05-02.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1942-05-02.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80007.gif
8,,Go Seigen,Kitani Minoru,,B+R,185,identified_by_30_move_prefix,sgf/008-1943-02-23.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1943-02-23.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80008.gif
9,,Kitani Minoru,Go Seigen,,W+3.5,271,identified_by_30_move_prefix,sgf/009-1943-04-07.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1943-04-07.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80009.gif
10,,Fujisawa Kuranosuke,Go Seigen,"1943-02-25,26",W+R,246,identified_by_30_move_prefix,sgf/010-1943-02-25.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1943-02-25.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80010.gif
